0
year
month
age
hispanic
police_involvement
education_bachelors
education_high school
education_less than high school
education_some college
sex_female
sex_male
race_asian/pacific islander
race_black
race_hispanic
race_native american/native alaskan
race_white
place_farm
place_home
place_industrial/construction
place_other specified
place_other unspecified
place_residential institution
place_school/instiution
place_sports
place_street
place_trade/service area
